"iso3","year","africa","americas","east_asia_and_the_pacific","europe","middle_east","other_not_classified","south_asia","total","of_which,_nationals_residing_abroad"
BWA,2014-01-01 00:00:00.000,1723.0,60.0,37.0,131.0,1.0,4.0,9.0,1966.0,
BWA,2015-01-01 00:00:00.000,1356.0,46.0,23.0,99.0,1.0,1.0,3.0,1528.0,
BWA,2016-01-01 00:00:00.000,1381.0,51.0,27.0,108.0,1.0,3.0,4.0,1574.0,
BWA,2017-01-01 00:00:00.000,1380.0,59.0,39.0,139.0,1.0,1.0,5.0,1623.0,
BWA,2018-01-01 00:00:00.000,1384.0,71.0,39.0,149.0,1.0,4.0,6.0,1655.0,
BWA,2019-01-01 00:00:00.000,841.5,39.0,21.5,81.5,1.0,3.5,3.5,992.0,
BWA,2020-01-01 00:00:00.000,299.0,7.0,4.0,14.0,1.0,3.0,1.0,329.0,
BWA,2021-01-01 00:00:00.000,299.0,7.0,4.0,14.0,1.0,3.0,1.0,329.0,
BRA,2012-01-01 00:00:00.000,92.0,3582.0,294.0,1686.0,12.0,,22.0,5676.0,
BRA,2013-01-01 00:00:00.000,95.0,3726.0,299.0,1670.0,12.0,,23.0,5813.0,
BRA,2014-01-01 00:00:00.000,128.0,4041.0,344.0,1891.0,12.0,,26.0,6430.0,
BRA,2015-01-01 00:00:00.000,108.0,4209.0,279.0,1667.0,12.0,,31.0,6306.0,
BRA,2016-01-01 00:00:00.000,78.0,4488.0,299.0,1642.0,10.0,,30.0,6547.0,
BRA,2017-01-01 00:00:00.000,68.0,4768.0,242.0,1481.0,8.0,,22.0,6589.0,
BRA,2018-01-01 00:00:00.000,63.0,4786.0,250.0,1494.0,7.0,,21.0,6621.0,
BRA,2019-01-01 00:00:00.000,68.0,4392.0,296.0,1570.0,8.0,,20.0,6353.0,
BRA,2020-01-01 00:00:00.000,14.0,1610.0,68.0,448.0,2.0,,4.0,2146.0,
BRA,2021-01-01 00:00:00.000,9.0,496.0,13.0,225.0,2.0,,2.0,746.0,
BRN,2012-01-01 00:00:00.000,,6.0,170.0,21.0,1.0,4.0,8.0,209.0,
BRN,2013-01-01 00:00:00.000,,8.0,181.0,23.0,1.0,4.0,10.0,225.0,
BRN,2014-01-01 00:00:00.000,,6.0,161.0,20.0,1.0,4.0,9.0,201.0,
BRN,2015-01-01 00:00:00.000,,6.0,178.0,20.0,1.0,3.0,10.0,218.0,
