"iso3","year","gdp"
LUX,2021-01-01 00:00:00.000,112584.676270958
MDG,2021-01-01 00:00:00.000,504.173730134152
MWI,2021-01-01 00:00:00.000,386.906540998121
MYS,2021-01-01 00:00:00.000,10601.5138881391
MDV,2021-01-01 00:00:00.000,7447.43257245424
MLI,2021-01-01 00:00:00.000,753.392193575841
MLT,2021-01-01 00:00:00.000,22527.7591149889
MHL,2021-01-01 00:00:00.000,3445.31540332931
MRT,2021-01-01 00:00:00.000,1850.38496774479
MUS,2021-01-01 00:00:00.000,9291.22761861899
MEX,2021-01-01 00:00:00.000,10376.0576664423
FSM,2021-01-01 00:00:00.000,3023.58544607879
MDA,2021-01-01 00:00:00.000,3044.80847790641
MCO,2021-01-01 00:00:00.000,165505.178100056
MNG,2021-01-01 00:00:00.000,4402.30452253522
MNE,2021-01-01 00:00:00.000,6586.7212793222
MAR,2021-01-01 00:00:00.000,2907.44921875
MOZ,2021-01-01 00:00:00.000,667.717424253901
MMR,2021-01-01 00:00:00.000,1161.30596207229
NAM,2021-01-01 00:00:00.000,6017.15706904775
NRU,2021-01-01 00:00:00.000,9280.65889360803
NPL,2021-01-01 00:00:00.000,794.09276990798
NLD,2021-01-01 00:00:00.000,50070.1416045904
NZL,2021-01-01 00:00:00.000,39973.3807587223
NIC,2021-01-01 00:00:00.000,1746.42562649907
NER,2021-01-01 00:00:00.000,525.047323992555
NGA,2021-01-01 00:00:00.000,2728.02268335423
MKD,2021-01-01 00:00:00.000,4728.30814189843
NOR,2021-01-01 00:00:00.000,101524.141851985
OMN,2021-01-01 00:00:00.000,24722.6388245874
PAK,2021-01-01 00:00:00.000,1109.67911473926
PLW,2021-01-01 00:00:00.000,11835.3839295665
PAN,2021-01-01 00:00:00.000,10767.2931788172
PNG,2021-01-01 00:00:00.000,2653.15390913735
PRY,2021-01-01 00:00:00.000,5617.10491786787
PER,2021-01-01 00:00:00.000,6475.68607048931
PHL,2021-01-01 00:00:00.000,2671.77720537356
POL,2021-01-01 00:00:00.000,13010.923390231
PRT,2021-01-01 00:00:00.000,20563.7136012629
QAT,2021-01-01 00:00:00.000,98041.3622380894
ROU,2021-01-01 00:00:00.000,8930.72991164974
RUS,2021-01-01 00:00:00.000,15420.875
RWA,2021-01-01 00:00:00.000,705.759755829457
WSM,2021-01-01 00:00:00.000,3902.39170055714
SMR,2021-01-01 00:00:00.000,48435.9425314096
STP,2021-01-01 00:00:00.000,1319.90083269011
SAU,2021-01-01 00:00:00.000,23878.5852917443
SEN,2021-01-01 00:00:00.000,1334.72601460415
SRB,2021-01-01 00:00:00.000,6015.94522756969
SYC,2021-01-01 00:00:00.000,11998.4472049381
SLE,2021-01-01 00:00:00.000,560.037399736372
SGP,2021-01-01 00:00:00.000,55546.4885386921
SVK,2021-01-01 00:00:00.000,17498.3539002594
SVN,2021-01-01 00:00:00.000,22641.805122503
SLB,2021-01-01 00:00:00.000,2087.51873876072
SOM,2021-01-01 00:00:00.000,
ZAF,2021-01-01 00:00:00.000,8173.8691381716
SSD,2021-01-01 00:00:00.000,1114.92372260191
ESP,2021-01-01 00:00:00.000,28322.9465923276
LKA,2021-01-01 00:00:00.000,3449.06690309332
KNA,2021-01-01 00:00:00.000,17311.6187824424
LCA,2021-01-01 00:00:00.000,9271.65949133441
VCT,2021-01-01 00:00:00.000,6754.37018395671
SDN,2021-01-01 00:00:00.000,1797.37976074219
SUR,2021-01-01 00:00:00.000,8922.95618613502
SWE,2021-01-01 00:00:00.000,58037.8213192173
CHE,2021-01-01 00:00:00.000,85836.2076767359
SYR,2021-01-01 00:00:00.000,1910.60452580833
TJK,2021-01-01 00:00:00.000,959.361904957958
TZA,2021-01-01 00:00:00.000,854.543212890625
THA,2021-01-01 00:00:00.000,5748.63124106961
TLS,2021-01-01 00:00:00.000,1019.96486775121
TGO,2021-01-01 00:00:00.000,559.190485610988
TON,2021-01-01 00:00:00.000,4378.65419644984
TTO,2021-01-01 00:00:00.000,18961.2335932644
TUN,2021-01-01 00:00:00.000,4233.89456807077
TUR,2021-01-01 00:00:00.000,11697.4805131124
TKM,2021-01-01 00:00:00.000,6441.88661774322
TUV,2021-01-01 00:00:00.000,3624.98804230918
UGA,2021-01-01 00:00:00.000,796.711135048199
UKR,2021-01-01 00:00:00.000,4004.80444335938
ARE,2021-01-01 00:00:00.000,44386.7860789846
GBR,2021-01-01 00:00:00.000,42485.5860695397
USA,2021-01-01 00:00:00.000,51784.4185738837
URY,2021-01-01 00:00:00.000,15206.8726201223
UZB,2021-01-01 00:00:00.000,2267.62327535512
VUT,2021-01-01 00:00:00.000,2906.34246130818
VEN,2021-01-01 00:00:00.000,12937.9275972349
VNM,2021-01-01 00:00:00.000,2190.23228396054
YEM,2021-01-01 00:00:00.000,1349.99029491959
ZMB,2021-01-01 00:00:00.000,1729.64747097057
ZWE,2021-01-01 00:00:00.000,1290.19395595933
AFG,2013-01-01 00:00:00.000,651.987861948108
ALB,2013-01-01 00:00:00.000,4413.06200528903
DZA,2013-01-01 00:00:00.000,5519.77757552373
AND,2013-01-01 00:00:00.000,44750.4356804443
AGO,2013-01-01 00:00:00.000,5101.98387641128
ATG,2013-01-01 00:00:00.000,13350.149136673
ARG,2013-01-01 00:00:00.000,13080.2547323367
ARM,2013-01-01 00:00:00.000,3833.1575324911
AUS,2013-01-01 00:00:00.000,68158.5797427053
AUT,2013-01-01 00:00:00.000,50731.1272541847
AZE,2013-01-01 00:00:00.000,7875.75695254288
BHS,2013-01-01 00:00:00.000,27389.6019706988
BHR,2013-01-01 00:00:00.000,25790.7303121382
BGD,2013-01-01 00:00:00.000,973.773392636423
BRB,2013-01-01 00:00:00.000,16893.6062702039
BLR,2013-01-01 00:00:00.000,7998.12523878099
BEL,2013-01-01 00:00:00.000,46757.9518559598
BLZ,2013-01-01 00:00:00.000,5887.93343545467
BEN,2013-01-01 00:00:00.000,1214.29556576586
BTN,2013-01-01 00:00:00.000,2409.44185615811
BOL,2013-01-01 00:00:00.000,2853.79716191598
BIH,2013-01-01 00:00:00.000,5025.07459738709
BWA,2013-01-01 00:00:00.000,6436.60944956683
BRA,2013-01-01 00:00:00.000,12258.5031683848
BRN,2013-01-01 00:00:00.000,43948.8511672852
BGR,2013-01-01 00:00:00.000,7681.93461995882
BFA,2013-01-01 00:00:00.000,762.303817145668
BDI,2013-01-01 00:00:00.000,241.54767083565
CPV,2013-01-01 00:00:00.000,3427.17717233918
KHM,2013-01-01 00:00:00.000,1015.2208813493
CMR,2013-01-01 00:00:00.000,1559.13912494614
CAN,2013-01-01 00:00:00.000,52635.1749580433
CAF,2013-01-01 00:00:00.000,352.226871986924
TCD,2013-01-01 00:00:00.000,980.083591998081
CHL,2013-01-01 00:00:00.000,15833.2752047998
CHN,2013-01-01 00:00:00.000,7020.33848453658
COL,2013-01-01 00:00:00.000,8264.1268955859
COM,2013-01-01 00:00:00.000,1595.98989563495
COD,2013-01-01 00:00:00.000,444.864360951453
COG,2013-01-01 00:00:00.000,3719.65121681283
CRI,2013-01-01 00:00:00.000,10633.2672527524
CIV,2013-01-01 00:00:00.000,1903.05432119282
HRV,2013-01-01 00:00:00.000,13871.3299049143
CUB,2013-01-01 00:00:00.000,6814.24384354868
CYP,2013-01-01 00:00:00.000,27799.119140625
CZE,2013-01-01 00:00:00.000,20133.1691431353
DNK,2013-01-01 00:00:00.000,61191.1937042028
DJI,2013-01-01 00:00:00.000,2102.19794830208
DMA,2013-01-01 00:00:00.000,7240.67911908479
DOM,2013-01-01 00:00:00.000,6171.29556968327
ECU,2013-01-01 00:00:00.000,6050.3546113274
EGY,2013-01-01 00:00:00.000,3088.8908340843
SLV,2013-01-01 00:00:00.000,3555.16209958481
GNQ,2013-01-01 00:00:00.000,17644.5951619429
ERI,2013-01-01 00:00:00.000,
EST,2013-01-01 00:00:00.000,19056.0019226989
SWZ,2013-01-01 00:00:00.000,4111.10964734079
ETH,2013-01-01 00:00:00.000,490.791804039986
FJI,2013-01-01 00:00:00.000,4586.89792093973
FIN,2013-01-01 00:00:00.000,49892.2233632732
FRA,2013-01-01 00:00:00.000,42602.7179652667
GAB,2013-01-01 00:00:00.000,9250.08156410837
GMB,2013-01-01 00:00:00.000,647.385300507399
GEO,2013-01-01 00:00:00.000,4623.74572473419
DEU,2013-01-01 00:00:00.000,46298.9229177341
GHA,2013-01-01 00:00:00.000,2282.34990530706
GRC,2013-01-01 00:00:00.000,21787.7877636035
GRD,2013-01-01 00:00:00.000,7205.26838352312
GTM,2013-01-01 00:00:00.000,3522.77370621475
GIN,2013-01-01 00:00:00.000,757.692269162995
GNB,2013-01-01 00:00:00.000,616.159958468139
GUY,2013-01-01 00:00:00.000,5576.24930990457
HTI,2013-01-01 00:00:00.000,1452.3121444609
HND,2013-01-01 00:00:00.000,2064.54840619818
HUN,2013-01-01 00:00:00.000,13715.0703590361
ISL,2013-01-01 00:00:00.000,49804.9829978371
IND,2013-01-01 00:00:00.000,1438.05748041006
IDN,2013-01-01 00:00:00.000,3602.88551680629
IRN,2013-01-01 00:00:00.000,6280.68185751355
IRQ,2013-01-01 00:00:00.000,6612.90225210234
IRL,2013-01-01 00:00:00.000,51546.3547634545
ISR,2013-01-01 00:00:00.000,36941.8423573582
ITA,2013-01-01 00:00:00.000,35560.0814062288
JAM,2013-01-01 00:00:00.000,5143.72131166933
JPN,2013-01-01 00:00:00.000,40898.6478964744
JOR,2013-01-01 00:00:00.000,4477.61832588262
KAZ,2013-01-01 00:00:00.000,13890.6309562926
KEN,2013-01-01 00:00:00.000,1376.82886892748
KIR,2013-01-01 00:00:00.000,1628.71020469547
PRK,2013-01-01 00:00:00.000,
KOR,2013-01-01 00:00:00.000,27182.7343101936
KWT,2013-01-01 00:00:00.000,47760.9441264683
KGZ,2013-01-01 00:00:00.000,1282.43716202467
LAO,2013-01-01 00:00:00.000,1815.44023554818
LVA,2013-01-01 00:00:00.000,15007.4918561719
LBN,2013-01-01 00:00:00.000,8255.20921057153
LSO,2013-01-01 00:00:00.000,1141.36103810369
LBR,2013-01-01 00:00:00.000,717.635753333907
LBY,2013-01-01 00:00:00.000,12589.4487456571
LIE,2013-01-01 00:00:00.000,173660.161219358
LTU,2013-01-01 00:00:00.000,15729.6524666512
LUX,2013-01-01 00:00:00.000,120000.140729859
MDG,2013-01-01 00:00:00.000,526.688011750229
MWI,2013-01-01 00:00:00.000,344.396771160878
MYS,2013-01-01 00:00:00.000,10727.6996632824
MDV,2013-01-01 00:00:00.000,8222.56338901712
MLI,2013-01-01 00:00:00.000,778.797090642802
MLT,2013-01-01 00:00:00.000,24770.934082103
MHL,2013-01-01 00:00:00.000,3611.69964168874
MRT,2013-01-01 00:00:00.000,1929.7735213577
MUS,2013-01-01 00:00:00.000,9766.75646458689
MEX,2013-01-01 00:00:00.000,10865.6802017218
FSM,2013-01-01 00:00:00.000,2920.70086272777
